Best trial value: 0.1244856200368869
Best hyperparameters: {'alpha': 0.02023933552996029, 'l1_ratio': 0.9998149684868581}

All trial results:
Trial 0: Value=0.12911003560354253, Params={'alpha': 0.05905326958008103, 'l1_ratio': 0.8859554440922547}
Trial 743: Value=0.1255573146148025, Params={'alpha': 0.011948880798404102, 'l1_ratio': 0.9995165577381123}
Trial 744: Value=0.12579051793459253, Params={'alpha': 0.032403161508985805, 'l1_ratio': 0.9999546285273168}
Trial 745: Value=0.12454591286531903, Params={'alpha': 0.021673199817301047, 'l1_ratio': 0.9335289247461893}
Trial 746: Value=0.12506536065511353, Params={'alpha': 0.02797513283314855, 'l1_ratio': 0.9578392559309052}
Trial 747: Value=0.12488214972066809, Params={'alpha': 0.015636817986007058, 'l1_ratio': 0.9800170071014824}
Trial 748: Value=0.12452404541861373, Params={'alpha': 0.019602547216968202, 'l1_ratio': 0.9825230070439269}
Trial 749: Value=0.12769628816293374, Params={'alpha': 0.04719737266195308, 'l1_ratio': 0.9524821744539631}
Trial 750: Value=0.12542876818311208, Params={'alpha': 0.012853196399222593, 'l1_ratio': 0.9697719214326344}
Trial 751: Value=0.12466968344730167, Params={'alpha': 0.02383071849206485, 'l1_ratio': 0.9797639557996456}
Trial 752: Value=0.12572660885779796, Params={'alpha': 0.03311679552764747, 'l1_ratio': 0.9472211761591458}
Trial 753: Value=0.12750850709322967, Params={'alpha': 0.01851220788142289, 'l1_ratio': 0.45866979577351136}
Trial 754: Value=0.12636560142456518, Params={'alpha': 0.009893755703957056, 'l1_ratio': 0.9994449487436557}
Trial 755: Value=0.12777587777765942, Params={'alpha': 0.025819969143024358, 'l1_ratio': 0.33653894933198497}
Trial 756: Value=0.12509404447568237, Params={'alpha': 0.014609552714047682, 'l1_ratio': 0.9666806419915972}
Trial 757: Value=0.12457593368238051, Params={'alpha': 0.020398532834653302, 'l1_ratio': 0.9260051831106055}
Trial 758: Value=0.12936111796358266, Params={'alpha': 0.00683178422291221, 'l1_ratio': 0.99986046392341}
Trial 759: Value=0.1256239928104435, Params={'alpha': 0.03168802230282406, 'l1_ratio': 0.9810100874563946}
Trial 760: Value=0.12489166983298026, Params={'alpha': 0.015933388699314315, 'l1_ratio': 0.9616109917749796}
Trial 761: Value=0.1296276485781264, Params={'alpha': 0.05880509877851355, 'l1_ratio': 0.983338528250525}
Trial 762: Value=0.12582681548115307, Params={'alpha': 0.011082294112655355, 'l1_ratio': 0.9998994835091788}
Trial 763: Value=0.12455801922189495, Params={'alpha': 0.022350179829126016, 'l1_ratio': 0.939041340195471}
Trial 764: Value=0.1266601475060224, Params={'alpha': 0.039137701676837666, 'l1_ratio': 0.9616360161054306}
Trial 765: Value=0.12554862075283027, Params={'alpha': 0.027484026132403947, 'l1_ratio': 0.5447055535124471}
Trial 766: Value=0.12466017432801761, Params={'alpha': 0.01712661274462423, 'l1_ratio': 0.9806540448089783}
Trial 767: Value=0.12519900488915015, Params={'alpha': 0.013801205371330621, 'l1_ratio': 0.9800013341234067}
Trial 768: Value=0.12453853418397083, Params={'alpha': 0.021872296805339333, 'l1_ratio': 0.9510734689718762}
Trial 769: Value=0.1253793180201824, Params={'alpha': 0.03011955289669689, 'l1_ratio': 0.9662548966841803}
Trial 770: Value=0.12459233234395091, Params={'alpha': 0.017907808018743573, 'l1_ratio': 0.9796275137405447}
Trial 771: Value=0.12548836207290906, Params={'alpha': 0.01220271545569587, 'l1_ratio': 0.9992599379579937}
Trial 772: Value=0.12853305498832499, Params={'alpha': 0.008030463336920706, 'l1_ratio': 0.9224261387721527}
Trial 773: Value=0.12474943048411358, Params={'alpha': 0.024424439928429253, 'l1_ratio': 0.7821245100331674}
Trial 774: Value=0.1261882475011975, Params={'alpha': 0.036236357903738414, 'l1_ratio': 0.9497254810799719}
Trial 775: Value=0.12452664890707392, Params={'alpha': 0.01959460218278959, 'l1_ratio': 0.9807690441201224}
Trial 776: Value=0.12504075062577324, Params={'alpha': 0.014951605074661055, 'l1_ratio': 0.9637622028889474}
Trial 777: Value=0.1250009023065697, Params={'alpha': 0.027034248403154, 'l1_ratio': 0.9827005077756745}
Trial 778: Value=0.12803898417728302, Params={'alpha': 0.04879514469832358, 'l1_ratio': 0.9822769544419008}
Trial 779: Value=0.1262698784455595, Params={'alpha': 0.010752872164072821, 'l1_ratio': 0.9376855567051485}
Trial 780: Value=0.1259705304671889, Params={'alpha': 0.02006999234575945, 'l1_ratio': 0.5707976045641316}
Trial 781: Value=0.13727934764161634, Params={'alpha': 0.09619477459289008, 'l1_ratio': 0.9642782238648484}
Trial 782: Value=1.0041624961256486, Params={'alpha': 4.927973896945318, 'l1_ratio': 0.9991361008206217}
Trial 783: Value=0.12474917522497915, Params={'alpha': 0.01616422725259753, 'l1_ratio': 0.9998791979759355}
Trial 784: Value=0.12547770333624292, Params={'alpha': 0.03220968211807857, 'l1_ratio': 0.9018357324263772}
Trial 785: Value=0.12463477818076525, Params={'alpha': 0.02346828689373634, 'l1_ratio': 0.9652929520341029}
Trial 786: Value=0.12538425938004397, Params={'alpha': 0.013396542767555523, 'l1_ratio': 0.9482253584803682}
Trial 787: Value=0.12681579288767483, Params={'alpha': 0.039816587889300016, 'l1_ratio': 0.9813175781267615}
Trial 788: Value=0.12450553756747466, Params={'alpha': 0.019445478339569548, 'l1_ratio': 0.999988491318273}
Trial 789: Value=0.12512855854986318, Params={'alpha': 0.028274016913103498, 'l1_ratio': 0.967124166311529}
Trial 790: Value=0.1264227694968634, Params={'alpha': 0.00994327521013655, 'l1_ratio': 0.9831503774981696}
Trial 791: Value=0.12497739165930259, Params={'alpha': 0.015681166890888474, 'l1_ratio': 0.9450940043438655}
Trial 792: Value=0.13510491509216846, Params={'alpha': 0.004542889607374036, 'l1_ratio': 0.982802317920182}
Trial 793: Value=1.0041624961256486, Params={'alpha': 442.9518027901868, 'l1_ratio': 0.9217669327522745}
Trial 794: Value=0.12457322533676778, Params={'alpha': 0.022598916469041642, 'l1_ratio': 0.9610254692871297}
Trial 795: Value=0.1249233684125155, Params={'alpha': 0.027921005315068925, 'l1_ratio': 0.7012428554333192}
Trial 796: Value=0.12538990465762315, Params={'alpha': 0.012867267398681688, 'l1_ratio': 0.9816309143180056}
Trial 797: Value=0.12462050033200707, Params={'alpha': 0.017934350276393323, 'l1_ratio': 0.9650635776533504}
Trial 798: Value=0.12711407059309202, Params={'alpha': 0.04162591632936724, 'l1_ratio': 0.9992288273171378}
Trial 799: Value=0.12951215118392068, Params={'alpha': 0.021996712124721325, 'l1_ratio': 0.3081852824336362}
Trial 800: Value=0.1254295306441089, Params={'alpha': 0.031111210318104564, 'l1_ratio': 0.9359492798150486}
Trial 801: Value=0.12719829103033642, Params={'alpha': 0.0088200892386293, 'l1_ratio': 0.9825911471066859}
Trial 802: Value=0.12509430881181482, Params={'alpha': 0.014801864733596707, 'l1_ratio': 0.9556650392473476}
Trial 803: Value=0.12451130123750465, Params={'alpha': 0.02004085868335745, 'l1_ratio': 0.9816864473810257}
Trial 804: Value=1.0041624961256486, Params={'alpha': 37.166829509242184, 'l1_ratio': 0.9995985261275981}
Trial 805: Value=0.12903075728538024, Params={'alpha': 0.05576101681998602, 'l1_ratio': 0.9650264688004513}
Trial 806: Value=0.14351343283446333, Params={'alpha': 0.0028352399681240543, 'l1_ratio': 0.9472052227203167}
Trial 807: Value=0.12484623623007178, Params={'alpha': 0.025514335635148343, 'l1_ratio': 0.9993695325563465}
Trial 808: Value=0.14991452695751853, Params={'alpha': 0.01680229068169094, 'l1_ratio': 0.08544589646424827}
Trial 809: Value=0.1253047165671954, Params={'alpha': 0.012998725740323442, 'l1_ratio': 0.9998681750828503}
Trial 810: Value=0.12872689396833423, Params={'alpha': 0.03759649604208187, 'l1_ratio': 0.23161689644105032}
Trial 811: Value=0.12460553004775443, Params={'alpha': 0.02302382444638547, 'l1_ratio': 0.9688405030633286}
Trial 812: Value=0.1258648067836172, Params={'alpha': 0.011229698727990163, 'l1_ratio': 0.9786263417215827}
Trial 813: Value=0.12540459179956412, Params={'alpha': 0.03091228251031191, 'l1_ratio': 0.9368778106255359}
Trial 814: Value=1.0041624961256486, Params={'alpha': 980.100611986144, 'l1_ratio': 0.6571597486611436}
Trial 815: Value=0.12454398699254844, Params={'alpha': 0.018521200502858277, 'l1_ratio': 0.9819625888335478}
Trial 816: Value=0.12474058899699492, Params={'alpha': 0.024961058292769227, 'l1_ratio': 0.963223799284639}
Trial 817: Value=0.12481143475108598, Params={'alpha': 0.01573865032613213, 'l1_ratio': 0.9993695549735933}
Trial 818: Value=0.13221499523627675, Params={'alpha': 0.005725883683448132, 'l1_ratio': 0.9520099738546224}
Trial 819: Value=0.12459042227624562, Params={'alpha': 0.020118137686489557, 'l1_ratio': 0.9142923894268664}
Trial 820: Value=0.1259148532081303, Params={'alpha': 0.033615104050776716, 'l1_ratio': 0.9816501965344153}
Trial 821: Value=0.12553531714385288, Params={'alpha': 0.01243732743229367, 'l1_ratio': 0.9683584334157093}
Trial 822: Value=0.12478472763562483, Params={'alpha': 0.02493680485517835, 'l1_ratio': 0.999920124524133}
Trial 823: Value=0.2629058964222067, Params={'alpha': 0.35051913573606663, 'l1_ratio': 0.9814096567808734}
Trial 824: Value=0.1247031507764485, Params={'alpha': 0.017422495897174508, 'l1_ratio': 0.9528456307360634}
Trial 825: Value=0.12778603607328667, Params={'alpha': 0.008217107713566551, 'l1_ratio': 0.9816251178995797}
Trial 826: Value=0.12797035168637097, Params={'alpha': 0.04784088458619196, 'l1_ratio': 0.9998277929292013}
Trial 827: Value=0.12518415625280302, Params={'alpha': 0.014671520992794156, 'l1_ratio': 0.9331921180515035}
Trial 828: Value=0.12524399086751029, Params={'alpha': 0.029144905655955976, 'l1_ratio': 0.966927460316833}
Trial 829: Value=0.12453980159154214, Params={'alpha': 0.019642570466266964, 'l1_ratio': 0.9675027778738527}
Trial 830: Value=0.13139999090547141, Params={'alpha': 0.06882637787453207, 'l1_ratio': 0.981618778481733}
Trial 831: Value=0.12641412374024355, Params={'alpha': 0.01032830593032781, 'l1_ratio': 0.9480916882842463}
Trial 832: Value=0.12674051475270967, Params={'alpha': 0.039227811843204105, 'l1_ratio': 0.9823086260559265}
Trial 833: Value=0.12471608153028751, Params={'alpha': 0.024637372317915466, 'l1_ratio': 0.9634252562919605}
Trial 834: Value=0.12515477362115182, Params={'alpha': 0.013995636348899216, 'l1_ratio': 0.9831570995453669}
Trial 835: Value=0.12456421841807479, Params={'alpha': 0.020445663466576846, 'l1_ratio': 0.9385191429956748}
Trial 836: Value=0.12517803704112718, Params={'alpha': 0.02836880976156939, 'l1_ratio': 0.9821442245811962}
Trial 837: Value=0.12483777764422882, Params={'alpha': 0.015565192905023591, 'l1_ratio': 0.9989269564600773}
Trial 838: Value=0.1245304191572378, Params={'alpha': 0.020742759348696693, 'l1_ratio': 0.9551123520940115}
Trial 839: Value=0.125746419733865, Params={'alpha': 0.032135321671155175, 'l1_ratio': 0.9991945686509783}
Trial 840: Value=0.12587999145272855, Params={'alpha': 0.011322567716561042, 'l1_ratio': 0.9675205479976688}
Trial 841: Value=0.12464581470012441, Params={'alpha': 0.024093667442128985, 'l1_ratio': 0.9173174036982958}
Trial 842: Value=0.12459532980219475, Params={'alpha': 0.01781083878194432, 'l1_ratio': 0.9819360519024136}
Trial 843: Value=0.12671204609817302, Params={'alpha': 0.03980979066008678, 'l1_ratio': 0.9498767602093756}
Trial 844: Value=0.1249843041767807, Params={'alpha': 0.015204478258580113, 'l1_ratio': 0.9672009594478873}
Trial 845: Value=0.12473410686908182, Params={'alpha': 0.02440818415489826, 'l1_ratio': 0.9988746603964983}
Trial 846: Value=0.1256754621758291, Params={'alpha': 0.011507560123428698, 'l1_ratio': 0.9994730437509854}
Trial 847: Value=0.39483548355954395, Params={'alpha': 0.5179283945783805, 'l1_ratio': 0.9293656280858662}
Trial 848: Value=0.12585433287903675, Params={'alpha': 0.033441577602783865, 'l1_ratio': 0.9694379506715699}
Trial 849: Value=0.12451753236823583, Params={'alpha': 0.018714611927239205, 'l1_ratio': 0.9997621669969574}
Trial 850: Value=0.12731381424790353, Params={'alpha': 0.008956503395215505, 'l1_ratio': 0.9534948544080142}
Trial 851: Value=0.12490109751892187, Params={'alpha': 0.02631168058385433, 'l1_ratio': 0.9786582821932146}
Trial 852: Value=0.12831247634454654, Params={'alpha': 0.05061838444209511, 'l1_ratio': 0.982104308531358}
Trial 853: Value=0.12515978961569976, Params={'alpha': 0.014222352742681884, 'l1_ratio': 0.9677086816144229}
Trial 854: Value=0.12462416508696729, Params={'alpha': 0.020059643154827524, 'l1_ratio': 0.8948991944620446}
Trial 855: Value=0.1255863465712391, Params={'alpha': 0.03222855398191929, 'l1_ratio': 0.9410621405635821}
Trial 856: Value=0.15627363221979843, Params={'alpha': 0.017299436710868147, 'l1_ratio': 0.05063677463527616}
Trial 857: Value=0.12462514724955835, Params={'alpha': 0.02316033619290255, 'l1_ratio': 0.9813892368064948}
Trial 858: Value=0.12528533431826652, Params={'alpha': 0.013664589130452275, 'l1_ratio': 0.9607531292056821}
Trial 859: Value=0.15695824915384113, Params={'alpha': 0.0014094042116911032, 'l1_ratio': 0.999367214764561}
Trial 860: Value=0.1266924951220897, Params={'alpha': 0.03892185011136782, 'l1_ratio': 0.9809156271449185}
Trial 861: Value=0.12477143617900176, Params={'alpha': 0.025512906071065565, 'l1_ratio': 0.9485627215126764}
Trial 862: Value=0.12873487179906276, Params={'alpha': 0.007390599336220636, 'l1_ratio': 0.9832412394628937}
Trial 863: Value=0.12598212506688541, Params={'alpha': 0.011108208822111934, 'l1_ratio': 0.9625660898246924}
Trial 864: Value=0.12454273798611638, Params={'alpha': 0.01806073677003549, 'l1_ratio': 0.9991778502827438}
Trial 865: Value=0.1254617009785757, Params={'alpha': 0.030121252121994926, 'l1_ratio': 0.999861083551801}
Trial 866: Value=0.1245695157838112, Params={'alpha': 0.020707278371198422, 'l1_ratio': 0.930621695200087}
Trial 867: Value=0.12520717017844882, Params={'alpha': 0.013947315686987916, 'l1_ratio': 0.9681602394028712}
Trial 868: Value=0.1245515358253535, Params={'alpha': 0.02208852468667082, 'l1_ratio': 0.9811874358661095}
Trial 869: Value=0.12562640867771813, Params={'alpha': 0.016181624430948935, 'l1_ratio': 0.7439949216797783}
Trial 870: Value=0.12502356792160974, Params={'alpha': 0.027692878808948097, 'l1_ratio': 0.9555860686558758}
Trial 871: Value=0.12755717191739827, Params={'alpha': 0.04544359483114741, 'l1_ratio': 0.9811600710154822}
Trial 872: Value=0.1267755351959563, Params={'alpha': 0.009774318225551776, 'l1_ratio': 0.9405391420168784}
Trial 873: Value=0.12616914451234026, Params={'alpha': 0.034972440936254075, 'l1_ratio': 0.9993146414652874}
Trial 874: Value=0.12467682657927419, Params={'alpha': 0.01738814183016297, 'l1_ratio': 0.9631874263981546}
Trial 875: Value=0.1255466017977884, Params={'alpha': 0.012218272825773223, 'l1_ratio': 0.9816264842215853}
Trial 876: Value=0.12461327839772812, Params={'alpha': 0.02311021741382062, 'l1_ratio': 0.970051802579316}
Trial 877: Value=0.12501395198206847, Params={'alpha': 0.02842667758641604, 'l1_ratio': 0.9123479437780567}
Trial 878: Value=0.12456433679401228, Params={'alpha': 0.017760778739986664, 'l1_ratio': 0.9999185087250484}
Trial 879: Value=0.12453932673491326, Params={'alpha': 0.02097944029233638, 'l1_ratio': 0.9450401027409093}
Trial 880: Value=0.12549167015138388, Params={'alpha': 0.012434166767146667, 'l1_ratio': 0.9806308131194403}
Trial 881: Value=0.13036511295492437, Params={'alpha': 0.03636572025994015, 'l1_ratio': 0.18835028599712644}
Trial 882: Value=0.1249914608816944, Params={'alpha': 0.01516099424078749, 'l1_ratio': 0.9671212155775217}
Trial 883: Value=0.12469009990632195, Params={'alpha': 0.0240708049236013, 'l1_ratio': 0.983226797382266}
Trial 884: Value=0.1253988113415091, Params={'alpha': 0.03052926838970573, 'l1_ratio': 0.9533643657193582}
Trial 885: Value=0.12451712510167329, Params={'alpha': 0.018792747622209113, 'l1_ratio': 0.9994345805167769}
Trial 886: Value=0.1324273579647165, Params={'alpha': 0.07629356068167463, 'l1_ratio': 0.929276112150258}
Trial 887: Value=0.1279562120567114, Params={'alpha': 0.048593524417225045, 'l1_ratio': 0.9692345219592163}
Trial 888: Value=0.12670423767824918, Params={'alpha': 0.009463548250344542, 'l1_ratio': 0.9827928043244791}
Trial 889: Value=0.12525110077242496, Params={'alpha': 0.014020354709202744, 'l1_ratio': 0.9490699222147038}
Trial 890: Value=0.12465788742117508, Params={'alpha': 0.023752849458859096, 'l1_ratio': 0.9683232622412605}
Trial 891: Value=0.12963594321264985, Params={'alpha': 0.006658845492234108, 'l1_ratio': 0.9996733963352905}
Trial 892: Value=0.12464820736158215, Params={'alpha': 0.017256395523848125, 'l1_ratio': 0.9796945330017709}
Trial 893: Value=0.12520469796736572, Params={'alpha': 0.028267769257558847, 'l1_ratio': 0.9996172089106784}
Trial 894: Value=0.14213496562782857, Params={'alpha': 0.02111007356000016, 'l1_ratio': 0.11640153787717067}
Trial 895: Value=0.12574251863071914, Params={'alpha': 0.033152579716702754, 'l1_ratio': 0.9503261855064821}
Trial 896: Value=0.12556419682161044, Params={'alpha': 0.0121482232868308, 'l1_ratio': 0.9819014547807575}
Trial 897: Value=0.12485702133461991, Params={'alpha': 0.01610798712743365, 'l1_ratio': 0.9641939541303948}
Trial 898: Value=0.12682909920738483, Params={'alpha': 0.03949083018875509, 'l1_ratio': 0.9997770529672908}
Trial 899: Value=0.12807390121443485, Params={'alpha': 0.02283648859098456, 'l1_ratio': 0.35518741091955147}
Trial 900: Value=0.12890657075611706, Params={'alpha': 0.014603200828629617, 'l1_ratio': 0.4833317597590931}
Trial 901: Value=0.1267848065648908, Params={'alpha': 0.009932626707442839, 'l1_ratio': 0.9240290720911541}
Trial 902: Value=0.12507841567283765, Params={'alpha': 0.027619734548469943, 'l1_ratio': 0.9828964418012757}
Trial 903: Value=0.12452646333534127, Params={'alpha': 0.0212227131470792, 'l1_ratio': 0.9533272550679287}
Trial 904: Value=0.12462544966380984, Params={'alpha': 0.017765288211825478, 'l1_ratio': 0.9691492444233608}
Trial 905: Value=0.12552992929892395, Params={'alpha': 0.012250118079412453, 'l1_ratio': 0.9838325817865803}
Trial 906: Value=0.12947246892558958, Params={'alpha': 0.059416355531868, 'l1_ratio': 0.9371912963302637}
Trial 907: Value=0.12504084535006313, Params={'alpha': 0.02763624010854206, 'l1_ratio': 0.965955371695985}
Trial 908: Value=0.127009465971316, Params={'alpha': 0.04124768553841324, 'l1_ratio': 0.9839418006677839}
Trial 909: Value=0.12451649309114236, Params={'alpha': 0.018857986960821877, 'l1_ratio': 0.9999615893008952}
Trial 910: Value=1.0041624961256486, Params={'alpha': 2.5747288284012795, 'l1_ratio': 0.9636869942188703}
Trial 911: Value=0.12467140120353075, Params={'alpha': 0.024181622306118925, 'l1_ratio': 0.9442855679709096}
Trial 912: Value=0.12512488343283276, Params={'alpha': 0.014182995519606192, 'l1_ratio': 0.9815266947123691}
Trial 913: Value=0.12583870963006316, Params={'alpha': 0.033066190016197934, 'l1_ratio': 0.982668313165939}
Trial 914: Value=0.12451670153054732, Params={'alpha': 0.01895672048342414, 'l1_ratio': 0.999729754067381}
Trial 915: Value=0.13137921598253402, Params={'alpha': 0.00966069239254485, 'l1_ratio': 0.5887183267539027}
Trial 916: Value=0.12914092666902235, Params={'alpha': 0.02550847347809065, 'l1_ratio': 0.2831762112502374}
Trial 917: Value=0.12500659340321382, Params={'alpha': 0.015251419263739404, 'l1_ratio': 0.9575696820920784}
Trial 918: Value=0.12624862600268952, Params={'alpha': 0.037388595373761095, 'l1_ratio': 0.9193890359193717}
Trial 919: Value=0.12462926033553316, Params={'alpha': 0.020596878091524964, 'l1_ratio': 0.878579371249702}
Trial 920: Value=0.12540195263809206, Params={'alpha': 0.012558017752353073, 'l1_ratio': 0.9997389293405232}
Trial 921: Value=0.12550213651408867, Params={'alpha': 0.03101192594619874, 'l1_ratio': 0.9679986728638033}
Trial 922: Value=0.12524563208413744, Params={'alpha': 0.016964470300681427, 'l1_ratio': 0.8086526413209947}
Trial 923: Value=0.12818833360234336, Params={'alpha': 0.00816522022839943, 'l1_ratio': 0.9429986916160755}
Trial 924: Value=0.1281177230034688, Params={'alpha': 0.049419920743963314, 'l1_ratio': 0.9786796513018109}
Trial 925: Value=0.12466250160397081, Params={'alpha': 0.023517550157315926, 'l1_ratio': 0.9997449937769906}
Trial 926: Value=0.12454107593240271, Params={'alpha': 0.01995420402917247, 'l1_ratio': 0.9632844702759958}
Trial 927: Value=0.12562308475969067, Params={'alpha': 0.011938093415328572, 'l1_ratio': 0.9801315917321901}
Trial 928: Value=0.12504280592539138, Params={'alpha': 0.027950556053325946, 'l1_ratio': 0.9499398028403799}
Trial 929: Value=0.12488601401680206, Params={'alpha': 0.015595833521116952, 'l1_ratio': 0.9807040070436904}
Trial 930: Value=0.1652675293328909, Params={'alpha': 0.0010195774600443397, 'l1_ratio': 0.9686778755528677}
Trial 931: Value=0.12457869676675781, Params={'alpha': 0.022517337063286784, 'l1_ratio': 0.9818255084261661}
Trial 932: Value=0.1457228911721873, Params={'alpha': 0.1252648313266658, 'l1_ratio': 0.9996638632974618}
Trial 933: Value=0.12507656915703183, Params={'alpha': 0.029106138402651513, 'l1_ratio': 0.9043495149462988}
Trial 934: Value=0.12491435251875142, Params={'alpha': 0.016214500606692862, 'l1_ratio': 0.9402947330989171}
Trial 935: Value=0.12709353442207275, Params={'alpha': 0.04146175739427205, 'l1_ratio': 0.9997646418559016}
Trial 936: Value=0.12603913776108897, Params={'alpha': 0.011000088573536798, 'l1_ratio': 0.960204639877432}
Trial 937: Value=0.12449486921905813, Params={'alpha': 0.020788411475904347, 'l1_ratio': 0.9997137926902506}
Trial 938: Value=0.12452812572528567, Params={'alpha': 0.019425042444276702, 'l1_ratio': 0.9822061460637087}
Trial 939: Value=0.12586364162472619, Params={'alpha': 0.033256033207598186, 'l1_ratio': 0.9812849371786525}
Trial 940: Value=0.1251424272704311, Params={'alpha': 0.01435753432538202, 'l1_ratio': 0.9655490532753308}
Trial 941: Value=1.0041624961256486, Params={'alpha': 14.822080332295473, 'l1_ratio': 0.9998828785828419}
Trial 942: Value=1.0041624961256486, Params={'alpha': 71.82854397462931, 'l1_ratio': 0.9810133745653047}
Trial 943: Value=0.9170587135359184, Params={'alpha': 0.8969848955665682, 'l1_ratio': 0.9992046108468293}
Trial 944: Value=0.12466835863316429, Params={'alpha': 0.024051552290548714, 'l1_ratio': 0.9534685481538799}
Trial 945: Value=0.12465751150251463, Params={'alpha': 0.01744541826875911, 'l1_ratio': 0.9679603212190223}
Trial 946: Value=0.12831415385543984, Params={'alpha': 0.008196366591315235, 'l1_ratio': 0.925771830112161}
Trial 947: Value=0.12495999483149173, Params={'alpha': 0.026704146232271235, 'l1_ratio': 0.9832450350022659}
Trial 948: Value=0.12530362275309334, Params={'alpha': 0.013241919653185446, 'l1_ratio': 0.9830976133829434}
Trial 949: Value=0.12631633984712345, Params={'alpha': 0.03698655237328459, 'l1_ratio': 0.9541251001894773}
Trial 950: Value=0.12449048634375996, Params={'alpha': 0.020626738928071982, 'l1_ratio': 0.9998218000809478}
Trial 951: Value=0.13067417950343416, Params={'alpha': 0.006100689533567449, 'l1_ratio': 0.9993260080502423}
Trial 952: Value=0.12454906501177375, Params={'alpha': 0.01797451143687859, 'l1_ratio': 0.9993080596056826}
Trial 953: Value=0.12955904120882122, Params={'alpha': 0.05886118598950299, 'l1_ratio': 0.9691623198755046}
Trial 954: Value=0.12506093009919186, Params={'alpha': 0.027540733017371175, 'l1_ratio': 0.9801290572173798}
Trial 955: Value=0.1254647634220487, Params={'alpha': 0.012284898806376796, 'l1_ratio': 0.9996259285372378}
Trial 956: Value=0.12451414457734528, Params={'alpha': 0.02131419622887808, 'l1_ratio': 0.9838179784392643}
Trial 957: Value=0.12490219586135698, Params={'alpha': 0.01578105880983731, 'l1_ratio': 0.9654240652076016}
Trial 958: Value=0.12616358265376462, Params={'alpha': 0.035287220486198076, 'l1_ratio': 0.9840063369530346}
Trial 959: Value=0.12455837452243612, Params={'alpha': 0.022327701370615897, 'l1_ratio': 0.953308238034813}
Trial 960: Value=0.12563214199194503, Params={'alpha': 0.011671957428225434, 'l1_ratio': 0.9986623747000882}
Trial 961: Value=0.1252196577909159, Params={'alpha': 0.028370104140777584, 'l1_ratio': 0.9999566244052527}
Trial 962: Value=0.12478006421727945, Params={'alpha': 0.01662499198091666, 'l1_ratio': 0.966923277311658}
Trial 963: Value=0.12727245164860015, Params={'alpha': 0.00914535639082133, 'l1_ratio': 0.9383019063823292}
Trial 964: Value=0.1276243952263812, Params={'alpha': 0.045439614038507666, 'l1_ratio': 0.999995868414624}
Trial 965: Value=0.12455084207785122, Params={'alpha': 0.02212924536863424, 'l1_ratio': 0.9684143917614615}
Trial 966: Value=0.12501306578018032, Params={'alpha': 0.014755780002862864, 'l1_ratio': 0.983091444882094}
Trial 967: Value=0.12530148065770938, Params={'alpha': 0.028950381696385117, 'l1_ratio': 0.9995310936873326}
Trial 968: Value=0.12817833523538583, Params={'alpha': 0.01933382934897074, 'l1_ratio': 0.40439978626516615}
Trial 969: Value=0.12575849615987347, Params={'alpha': 0.0328584015834164, 'l1_ratio': 0.9676189779182629}
Trial 970: Value=0.12620746931345353, Params={'alpha': 0.01073860891578618, 'l1_ratio': 0.9509867400556085}
Trial 971: Value=0.12469217142868383, Params={'alpha': 0.024110020686515552, 'l1_ratio': 0.9821283112284128}
Trial 972: Value=0.12512932737855975, Params={'alpha': 0.015035092132554037, 'l1_ratio': 0.9309100355472766}
Trial 973: Value=0.12453243265979579, Params={'alpha': 0.01898146091058185, 'l1_ratio': 0.9798238211525144}
Trial 974: Value=0.12675096137773073, Params={'alpha': 0.03972444426344219, 'l1_ratio': 0.964989768857423}
Trial 975: Value=0.12485470486870427, Params={'alpha': 0.025877603282511152, 'l1_ratio': 0.9815795180199576}
Trial 976: Value=0.12453712025560859, Params={'alpha': 0.018138563888617464, 'l1_ratio': 0.999045574092262}
Trial 977: Value=0.12547268348825222, Params={'alpha': 0.012256701813261576, 'l1_ratio': 0.9994859821163111}
Trial 978: Value=0.14263682108253187, Params={'alpha': 0.003913160198829749, 'l1_ratio': 0.7101420709345214}
Trial 979: Value=0.12462356703036408, Params={'alpha': 0.02346307366837368, 'l1_ratio': 0.9506484710177722}
Trial 980: Value=0.12515963176718056, Params={'alpha': 0.014204648990047947, 'l1_ratio': 0.9688144889989695}
Trial 981: Value=0.12572884669447695, Params={'alpha': 0.0323686477303485, 'l1_ratio': 0.9817719787262046}
Trial 982: Value=0.12457005867363014, Params={'alpha': 0.01933739106834213, 'l1_ratio': 0.9441863648359075}
Trial 983: Value=0.12874309153651434, Params={'alpha': 0.05288856501366482, 'l1_ratio': 0.9997733275582389}
Trial 984: Value=0.12637707003498422, Params={'alpha': 0.010225554344923149, 'l1_ratio': 0.9646415903596253}
Trial 985: Value=0.12485037308613245, Params={'alpha': 0.02582544081711224, 'l1_ratio': 0.9824469580715784}
Trial 986: Value=0.15174217247552302, Params={'alpha': 0.001902374999240754, 'l1_ratio': 0.9345011835956186}
Trial 987: Value=0.12481758137521377, Params={'alpha': 0.01603236621795196, 'l1_ratio': 0.9821009900998978}
Trial 988: Value=0.12616218171618823, Params={'alpha': 0.035870201355561245, 'l1_ratio': 0.9575947796669508}
Trial 989: Value=0.12450113402517167, Params={'alpha': 0.020792357322863206, 'l1_ratio': 0.9828021565773809}
Trial 990: Value=0.12455605056437087, Params={'alpha': 0.022110793608263183, 'l1_ratio': 0.9258767406385603}
